sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:268","ADORA3","adenosine A3 receptor","","","1p13.2","Adenosine receptors"
"HGNC:13838","ADGRA1","adhesion G protein-coupled receptor A1","GPR123","","10q26.3","Adhesion G protein-coupled receptors, subfamily A"
"HGNC:17849","ADGRA2","adhesion G protein-coupled receptor A2","GPR124","","8p11.23","Adhesion G protein-coupled receptors, subfamily A"
"HGNC:13839","ADGRA3","adhesion G protein-coupled receptor A3","GPR125","","4p15.2","Adhesion G protein-coupled receptors, subfamily A"
"HGNC:943","ADGRB1","adhesion G protein-coupled receptor B1","BAI1","","8q24.3","Adhesion G protein-coupled receptors, subfamily B"
"HGNC:944","ADGRB2","adhesion G protein-coupled receptor B2","BAI2","","1p35.2","Adhesion G protein-coupled receptors, subfamily B"
"HGNC:945","ADGRB3","adhesion G protein-coupled receptor B3","BAI3","","6q12-q13","Adhesion G protein-coupled receptors, subfamily B"
"HGNC:1850","CELSR1","cadherin EGF LAG seven-pass G-type receptor 1","","","22q13.31","Adhesion G protein-coupled receptors, subfamily C"
"HGNC:3231","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2","EGFL2","","1p13.3","Adhesion G protein-coupled receptors, subfamily C"
"HGNC:3230","CELSR3","cadherin EGF LAG seven-pass G-type receptor 3","EGFL1","","3p21.31","Adhesion G protein-coupled receptors, subfamily C"
"HGNC:19893","ADGRD1","adhesion G protein-coupled receptor D1","GPR133","","12q24.33","Adhesion G protein-coupled receptors, subfamily D"
"HGNC:18651","ADGRD2","adhesion G protein-coupled receptor D2","GPR144","","9q33.3","Adhesion G protein-coupled receptors, subfamily D"
"HGNC:3336","ADGRE1","adhesion G protein-coupled receptor E1","TM7LN3,EMR1","","19p13.3-p13.2","Adhesion G protein-coupled receptors, subfamily E"
"HGNC:3337","ADGRE2","adhesion G protein-coupled receptor E2","EMR2","","19p13.12","Adhesion G protein-coupled receptors, subfamily E"
"HGNC:23647","ADGRE3","adhesion G protein-coupled receptor E3","EMR3","","19p13.12","Adhesion G protein-coupled receptors, subfamily E"
"HGNC:19240","ADGRE4P","adhesion G protein-coupled receptor E4, pseudogene","GPR127,EMR4,EMR4P","","19p13.2","Adhesion G protein-coupled receptors, subfamily E"
"HGNC:1711","ADGRE5","adhesion G protein-coupled receptor E5","CD97","","19p13.12","Adhesion G protein-coupled receptors, subfamily E"
"HGNC:18990","ADGRF1","adhesion G protein-coupled receptor F1","GPR110","","6p12.3","Adhesion G protein-coupled receptors, subfamily F"
"HGNC:18991","ADGRF2","adhesion G protein-coupled receptor F2","GPR111","","6p12.3","Adhesion G protein-coupled receptors, subfamily F"
"HGNC:18989","ADGRF3","adhesion G protein-coupled receptor F3","GPR113","","2p23.3","Adhesion G protein-coupled receptors, subfamily F"
"HGNC:19011","ADGRF4","adhesion G protein-coupled receptor F4","GPR115","","6p12.3","Adhesion G protein-coupled receptors, subfamily F"
"HGNC:19030","ADGRF5","adhesion G protein-coupled receptor F5","GPR116","","6p12.3","Adhesion G protein-coupled receptors, subfamily F"
"HGNC:4512","ADGRG1","adhesion G protein-coupled receptor G1","GPR56","","16q21","Adhesion G protein-coupled receptors, subfamily G"
"HGNC:4516","ADGRG2","adhesion G protein-coupled receptor G2","GPR64","","Xp22.13","Adhesion G protein-coupled receptors, subfamily G"
"HGNC:13728","ADGRG3","adhesion G protein-coupled receptor G3","GPR97","","16q21","Adhesion G protein-coupled receptors, subfamily G"
"HGNC:18992","ADGRG4","adhesion G protein-coupled receptor G4","GPR112","","Xq26.3","Adhesion G protein-coupled receptors, subfamily G"
"HGNC:19010","ADGRG5","adhesion G protein-coupled receptor G5","GPR114","","16q21","Adhesion G protein-coupled receptors, subfamily G"
"HGNC:13841","ADGRG6","adhesion G protein-coupled receptor G6","GPR126","","6q24.2","Adhesion G protein-coupled receptors, subfamily G"
"HGNC:19241","ADGRG7","adhesion G protein-coupled receptor G7","GPR128","","3q12.2","Adhesion G protein-coupled receptors, subfamily G"
"HGNC:20973","ADGRL1","adhesion G protein-coupled receptor L1","LPHN1","","19p13.12","Adhesion G protein-coupled receptors, subfamily L"
"HGNC:18582","ADGRL2","adhesion G protein-coupled receptor L2","LPHH1,LPHN2","","1p31.1","Adhesion G protein-coupled receptors, subfamily L"
"HGNC:20974","ADGRL3","adhesion G protein-coupled receptor L3","LPHN3","","4q13.1","Adhesion G protein-coupled receptors, subfamily L"
"HGNC:20822","ADGRL4","adhesion G protein-coupled receptor L4","ELTD1","","1p31.1","Adhesion G protein-coupled receptors, subfamily L"
"HGNC:17416","ADGRV1","adhesion G protein-coupled receptor V1","USH2C,MASS1,GPR98","","5q14.3","Adhesion G protein-coupled receptors, subfamily V"
"HGNC:277","ADRA1A","adrenoceptor alpha 1A","ADRA1C","","8p21.2","Adrenoceptors"
"HGNC:278","ADRA1B","adrenoceptor alpha 1B","","","5q33.3","Adrenoceptors"
"HGNC:280","ADRA1D","adrenoceptor alpha 1D","","","20p13","Adrenoceptors"
"HGNC:281","ADRA2A","adrenoceptor alpha 2A","ADRA2,ADRA2R","","10q25.2","Adrenoceptors"
"HGNC:282","ADRA2B","adrenoceptor alpha 2B","ADRA2L1,ADRA2RL1","","2q11.2","Adrenoceptors"
"HGNC:283","ADRA2C","adrenoceptor alpha 2C","ADRA2L2,ADRA2RL2","","4p16.3","Adrenoceptors"
"HGNC:285","ADRB1","adrenoceptor beta 1","ADRB1R","","10q25.3","Adrenoceptors"
"HGNC:286","ADRB2","adrenoceptor beta 2","ADRB2R","","5q32","Adrenoceptors"
"HGNC:288","ADRB3","adrenoceptor beta 3","","","8p11.23","Adrenoceptors"
"HGNC:336","AGTR1","angiotensin II receptor type 1","AGTR1B","","3q24","Angiotensin receptors"
"HGNC:338","AGTR2","angiotensin II receptor type 2","","","Xq23","Angiotensin receptors"
"HGNC:895","AVPR1A","arginine vasopressin receptor 1A","AVPR1","","12q14.2","Arginine vasopressin and oxytocin receptors"
"HGNC:896","AVPR1B","arginine vasopressin receptor 1B","AVPR3","","1q32.1","Arginine vasopressin and oxytocin receptors"
"HGNC:897","AVPR2","arginine vasopressin receptor 2","DIR3,DIR","","Xq28","Arginine vasopressin and oxytocin receptors"
"HGNC:8529","OXTR","oxytocin receptor","","","3p25.3","Arginine vasopressin and oxytocin receptors"
"HGNC:4035","ACKR1","atypical chemokine receptor 1 (Duffy blood group)","FY,DARC","","1q23.2","Atypical chemokine receptors"
"HGNC:1565","ACKR2","atypical chemokine receptor 2","CMKBR9,CCBP2","","3p22.1","Atypical chemokine receptors"
"HGNC:23692","ACKR3","atypical chemokine receptor 3","CMKOR1,CXCR7","","2q37.3","Atypical chemokine receptors"
"HGNC:1611","ACKR4","atypical chemokine receptor 4","CCRL1","","3q22.1","Atypical chemokine receptors"
"HGNC:1612","CCRL2","C-C motif chemokine receptor like 2","","","3p21.31","Atypical chemokine receptors"
"HGNC:21043","PITPNM3","PITPNM family member 3","CORD5","","17p13.2-p13.1","Atypical chemokine receptors"
"HGNC:1029","BDKRB1","bradykinin receptor B1","","","14q32.2","Bradykinin receptors"
"HGNC:1030","BDKRB2","bradykinin receptor B2","","","14q32.2","Bradykinin receptors"
"HGNC:1440","CALCR","calcitonin receptor","","","7q21.3","Calcitonin receptors"
"HGNC:16709","CALCRL","calcitonin receptor like receptor","","","2q32.1","Calcitonin receptors"
"HGNC:1514","CASR","calcium sensing receptor","HHC,HHC1","","3q13.33-q21.1","Calcium sensing receptors"
"HGNC:18510","GPRC6A","G protein-coupled receptor class C group 6 member A","","","6q22.1","Calcium sensing receptors"
"HGNC:2159","CNR1","cannabinoid receptor 1","CNR","","6q15","Cannabinoid receptors"
"HGNC:2160","CNR2","cannabinoid receptor 2","","","1p36.11","Cannabinoid receptors"
"HGNC:1602","CCR1","C-C motif chemokine receptor 1","SCYAR1,CMKBR1","","3p21.31","C-C motif chemokine receptors"
"HGNC:1603","CCR2","C-C motif chemokine receptor 2","CMKBR2","","3p21.31","C-C motif chemokine receptors"
"HGNC:1604","CCR3","C-C motif chemokine receptor 3","CMKBR3","","3p21.31","C-C motif chemokine receptors"
"HGNC:1605","CCR4","C-C motif chemokine receptor 4","","","3p22.3","C-C motif chemokine receptors"
"HGNC:1606","CCR5","C-C motif chemokine receptor 5","CMKBR5","","3p21.31","C-C motif chemokine receptors"
"HGNC:1607","CCR6","C-C motif chemokine receptor 6","STRL22","","6q27","C-C motif chemokine receptors"
"HGNC:1608","CCR7","C-C motif chemokine receptor 7","CMKBR7,EBI1","","17q21.2","C-C motif chemokine receptors"
"HGNC:1609","CCR8","C-C motif chemokine receptor 8","CMKBRL2,CMKBR8","","3p22.1","C-C motif chemokine receptors"
"HGNC:1610","CCR9","C-C motif chemokine receptor 9","GPR28","","3p21.31","C-C motif chemokine receptors"
"HGNC:4474","CCR10","C-C motif chemokine receptor 10","GPR2","","17q21.2","C-C motif chemokine receptors"
"HGNC:2121","CMKLR1","chemerin chemokine-like receptor 1","","","12q23.3","Chemerin receptor"
"HGNC:1570","CCKAR","cholecystokinin A receptor","","","4p15.2","Cholecystokinin receptors"
"HGNC:1571","CCKBR","cholecystokinin B receptor","","","11p15.4","Cholecystokinin receptors"
"HGNC:1950","CHRM1","cholinergic receptor muscarinic 1","","","11q12.3","Cholinergic receptors muscarinic"
"HGNC:1951","CHRM2","cholinergic receptor muscarinic 2","","","7q33","Cholinergic receptors muscarinic"
"HGNC:1952","CHRM3","cholinergic receptor muscarinic 3","","","1q43","Cholinergic receptors muscarinic"
"HGNC:1953","CHRM4","cholinergic receptor muscarinic 4","","","11p11.2","Cholinergic receptors muscarinic"
"HGNC:1954","CHRM5","cholinergic receptor muscarinic 5","","","15q14","Cholinergic receptors muscarinic"
"HGNC:1319","C3AR1","complement C3a receptor 1","","","12p13.31","Complement component GPCRs"
"HGNC:1338","C5AR1","complement C5a receptor 1","C5R1","","19q13.32","Complement component GPCRs"
"HGNC:4527","C5AR2","complement component 5a receptor 2","GPR77","","19q13.32","Complement component GPCRs"
"HGNC:2357","CRHR1","corticotropin releasing hormone receptor 1","CRHR","","17q21.31","Corticotropin releasing hormone receptors"
"HGNC:2358","CRHR2","corticotropin releasing hormone receptor 2","","","7p14.3","Corticotropin releasing hormone receptors"
"HGNC:6026","CXCR1","C-X-C motif chemokine receptor 1","CMKAR1,IL8RA","","2q35","C-X-C motif chemokine receptors"
"HGNC:6027","CXCR2","C-X-C motif chemokine receptor 2","IL8RB","","2q35","C-X-C motif chemokine receptors"
"HGNC:4540","CXCR3","C-X-C motif chemokine receptor 3","GPR9","","Xq13.1","C-X-C motif chemokine receptors"
"HGNC:2561","CXCR4","C-X-C motif chemokine receptor 4","","","2q22.1","C-X-C motif chemokine receptors"
"HGNC:1060","CXCR5","C-X-C motif chemokine receptor 5","BLR1","","11q23.3","C-X-C motif chemokine receptors"
"HGNC:16647","CXCR6","C-X-C motif chemokine receptor 6","","","3p21.31","C-X-C motif chemokine receptors"
"HGNC:2558","CX3CR1","C-X3-C motif chemokine receptor 1","GPR13,CMKBRL1","","3p22.2","C-X-3-C motif chemokine receptors"
"HGNC:3020","DRD1","dopamine receptor D1","","","5q35.2","Dopamine receptors"
"HGNC:3023","DRD2","dopamine receptor D2","","","11q23.2","Dopamine receptors"
"HGNC:3024","DRD3","dopamine receptor D3","","","3q13.31","Dopamine receptors"
"HGNC:3025","DRD4","dopamine receptor D4","","","11p15.5","Dopamine receptors"
"HGNC:3026","DRD5","dopamine receptor D5","DRD1L2","","4p16.1","Dopamine receptors"
"HGNC:3179","EDNRA","endothelin receptor type A","","","4q31.22-q31.23","Endothelin receptors"
"HGNC:3180","EDNRB","endothelin receptor type B","HSCR2,HSCR","","13q22.3","Endothelin receptors"
"HGNC:3826","FPR1","formyl peptide receptor 1","","","19q13.41","Formyl peptide receptors"
"HGNC:3827","FPR2","formyl peptide receptor 2","FPRL1","","19q13.41","Formyl peptide receptors"
"HGNC:3828","FPR3","formyl peptide receptor 3","FPRL2","","19q13.41","Formyl peptide receptors"
"HGNC:4498","FFAR1","free fatty acid receptor 1","GPR40","","19q13.12","Free fatty acid receptors"
"HGNC:4501","FFAR2","free fatty acid receptor 2","GPR43","","19q13.12","Free fatty acid receptors"
"HGNC:4499","FFAR3","free fatty acid receptor 3","GPR41","","19q13.12","Free fatty acid receptors"
"HGNC:19061","FFAR4","free fatty acid receptor 4","GPR129,GPR120,O3FAR1","","10q23.33","Free fatty acid receptors"
"HGNC:3537","F2R","coagulation factor II thrombin receptor","","","5q13.3","F2R receptors"
"HGNC:3538","F2RL1","F2R like trypsin receptor 1","GPR11","","5q13.3","F2R receptors"
"HGNC:3539","F2RL2","coagulation factor II thrombin receptor like 2","","","5q13.3","F2R receptors"
"HGNC:3540","F2RL3","F2R like thrombin or trypsin receptor 3","","","19p13.11","F2R receptors"
"HGNC:4132","GALR1","galanin receptor 1","GALNR1,GALNR","","18q23","Galanin receptors"
"HGNC:4133","GALR2","galanin receptor 2","","","17q25.1","Galanin receptors"
"HGNC:4134","GALR3","galanin receptor 3","","","22q13.1","Galanin receptors"
"HGNC:4070","GABBR1","gamma-aminobutyric acid type B receptor subunit 1","","","6p22.1","Gamma-aminobutyric acid type B receptor subunits"
"HGNC:4507","GABBR2","gamma-aminobutyric acid type B receptor subunit 2","GPR51","","9q22.33","Gamma-aminobutyric acid type B receptor subunits"
"HGNC:4192","GCGR","glucagon receptor","","","17q25.3","Glucagon receptor family"
"HGNC:4266","GHRHR","growth hormone releasing hormone receptor","","","7p14.3","Glucagon receptor family"
"HGNC:4271","GIPR","gastric inhibitory polypeptide receptor","","","19q13.32","Glucagon receptor family"
"HGNC:4324","GLP1R","glucagon like peptide 1 receptor","","","6p21.2","Glucagon receptor family"
"HGNC:4325","GLP2R","glucagon like peptide 2 receptor","","","17p13.1","Glucagon receptor family"
"HGNC:10608","SCTR","secretin receptor","","","2q14.2","Glucagon receptor family"
"HGNC:4593","GRM1","glutamate metabotropic receptor 1","","","6q24.3","Glutamate metabotropic receptors"
"HGNC:4594","GRM2","glutamate metabotropic receptor 2","","","3p21.2","Glutamate metabotropic receptors"
"HGNC:4595","GRM3","glutamate metabotropic receptor 3","","","7q21.11-q21.12","Glutamate metabotropic receptors"
"HGNC:4596","GRM4","glutamate metabotropic receptor 4","","","6p21.31","Glutamate metabotropic receptors"
"HGNC:4597","GRM5","glutamate metabotropic receptor 5","","","11q14.2-q14.3","Glutamate metabotropic receptors"
"HGNC:4598","GRM6","glutamate metabotropic receptor 6","","","5q35.3","Glutamate metabotropic receptors"
"HGNC:4599","GRM7","glutamate metabotropic receptor 7","","","3p26.1","Glutamate metabotropic receptors"
"HGNC:4600","GRM8","glutamate metabotropic receptor 8","","","7q31.33","Glutamate metabotropic receptors"
"HGNC:3969","FSHR","follicle stimulating hormone receptor","ODG1","","2p16.3","Glycoprotein hormone receptors"
"HGNC:6585","LHCGR","luteinizing hormone/choriogonadotropin receptor","HHG","","2p16.3","Glycoprotein hormone receptors"
"HGNC:12373","TSHR","thyroid stimulating hormone receptor","","","14q24-q31","Glycoprotein hormone receptors"
"HGNC:4421","GNRHR","gonadotropin releasing hormone receptor","GRHR","","4q13.2","Gonadotropin releasing hormone receptors"
"HGNC:16341","GNRHR2","gonadotropin releasing hormone receptor 2 (pseudogene)","","","1q21.1","Gonadotropin releasing hormone receptors"
"HGNC:19680","GPBAR1","G protein-coupled bile acid receptor 1","","","2q35","G protein-coupled bile acid receptor"
"HGNC:4485","GPER1","G protein-coupled estrogen receptor 1","CMKRL2,GPR30,GPER","","7p22.3","G protein-coupled estrogen receptor"
"HGNC:4463","GPR1","G protein-coupled receptor 1","","","2q33.3","G protein-coupled receptors, Class A orphans"
"HGNC:4484","GPR3","G protein-coupled receptor 3","","","1p36.11","G protein-coupled receptors, Class A orphans"
"HGNC:4497","GPR4","G protein-coupled receptor 4","","","19q13.32","G protein-coupled receptors, Class A orphans"
"HGNC:4515","GPR6","G protein-coupled receptor 6","","","6q21","G protein-coupled receptors, Class A orphans"
"HGNC:4466","GPR12","G protein-coupled receptor 12","","","13q12.13","G protein-coupled receptors, Class A orphans"
"HGNC:4469","GPR15","G protein-coupled receptor 15","","","3q11.2","G protein-coupled receptors, Class A orphans"
"HGNC:4471","GPR17","G protein-coupled receptor 17","","","2q14.3","G protein-coupled receptors, Class A orphans"
"HGNC:4472","GPR18","G protein-coupled receptor 18","","","13q32.3","G protein-coupled receptors, Class A orphans"
"HGNC:4473","GPR19","G protein-coupled receptor 19","","","12p13.1","G protein-coupled receptors, Class A orphans"
"HGNC:4475","GPR20","G protein-coupled receptor 20","","","8q24.3","G protein-coupled receptors, Class A orphans"
"HGNC:4476","GPR21","G protein-coupled receptor 21","","","9q33.2","G protein-coupled receptors, Class A orphans"
"HGNC:4477","GPR22","G protein-coupled receptor 22","","","7q22.3","G protein-coupled receptors, Class A orphans"
"HGNC:4480","GPR25","G protein-coupled receptor 25","","","1q32.1","G protein-coupled receptors, Class A orphans"
"HGNC:4481","GPR26","G protein-coupled receptor 26","","","10q26.13","G protein-coupled receptors, Class A orphans"
"HGNC:4482","GPR27","G protein-coupled receptor 27","","","3p13","G protein-coupled receptors, Class A orphans"
"HGNC:4486","GPR31","G protein-coupled receptor 31","","","6q27","G protein-coupled receptors, Class A orphans"
"HGNC:4487","GPR32","G protein-coupled receptor 32","","","19q13.33","G protein-coupled receptors, Class A orphans"
"HGNC:4489","GPR33","G protein-coupled receptor 33","","","14q12","G protein-coupled receptors, Class A orphans"
"HGNC:4490","GPR34","G protein-coupled receptor 34","","","Xp11.4","G protein-coupled receptors, Class A orphans"
"HGNC:4492","GPR35","G protein-coupled receptor 35","","","2q37.3","G protein-coupled receptors, Class A orphans"
"HGNC:4494","GPR37","G protein-coupled receptor 37","","","7q31.33","G protein-coupled receptors, Class A orphans"
"HGNC:14923","GPR37L1","G protein-coupled receptor 37 like 1","","","1q32.1","G protein-coupled receptors, Class A orphans"
"HGNC:4496","GPR39","G protein-coupled receptor 39","","","2q21.2","G protein-coupled receptors, Class A orphans"
"HGNC:4500","GPR42","G protein-coupled receptor 42","GPR42P","","19q13.12","G protein-coupled receptors, Class A orphans"
"HGNC:4503","GPR45","G protein-coupled receptor 45","","","2q12.1","G protein-coupled receptors, Class A orphans"
"HGNC:4506","GPR50","G protein-coupled receptor 50","","","Xq28","G protein-coupled receptors, Class A orphans"
"HGNC:4508","GPR52","G protein-coupled receptor 52","","","1q25.1","G protein-coupled receptors, Class A orphans"
"HGNC:4511","GPR55","G protein-coupled receptor 55","","","2q37.1","G protein-coupled receptors, Class A orphans"
"HGNC:13300","GPR61","G protein-coupled receptor 61","","","1p13.3","G protein-coupled receptors, Class A orphans"
"HGNC:13301","GPR62","G protein-coupled receptor 62","","","3p21.2","G protein-coupled receptors, Class A orphans"
"HGNC:13302","GPR63","G protein-coupled receptor 63","","","6q16.1","G protein-coupled receptors, Class A orphans"
"HGNC:4517","GPR65","G protein-coupled receptor 65","","","14q31.3","G protein-coupled receptors, Class A orphans"
"HGNC:4519","GPR68","G protein-coupled receptor 68","","","14q32.11","G protein-coupled receptors, Class A orphans"
"HGNC:4526","GPR75","G protein-coupled receptor 75","","","2p16.2","G protein-coupled receptors, Class A orphans"
"HGNC:4528","GPR78","G protein-coupled receptor 78","","","4p16.1","G protein-coupled receptors, Class A orphans"
"HGNC:4529","GPR79","G protein-coupled receptor 79, pseudogene","","","3q25.32","G protein-coupled receptors, Class A orphans"
"HGNC:4533","GPR82","G protein-coupled receptor 82","","","Xp11.4","G protein-coupled receptors, Class A orphans"
"HGNC:4523","GPR83","G protein-coupled receptor 83","GPR72","","11q21","G protein-coupled receptors, Class A orphans"
"HGNC:4535","GPR84","G protein-coupled receptor 84","","","12q13.13","G protein-coupled receptors, Class A orphans"
"HGNC:4536","GPR85","G protein-coupled receptor 85","","","7q31.1","G protein-coupled receptors, Class A orphans"
"HGNC:4538","GPR87","G protein-coupled receptor 87","GPR95","","3q25.1","G protein-coupled receptors, Class A orphans"
"HGNC:4539","GPR88","G protein-coupled receptor 88","","","1p21.2","G protein-coupled receptors, Class A orphans"
"HGNC:14963","GPR101","G protein-coupled receptor 101","","","Xq26.3","G protein-coupled receptors, Class A orphans"
"HGNC:19060","GPR119","G protein-coupled receptor 119","","","Xq26.1","G protein-coupled receptors, Class A orphans"
"HGNC:17482","GPR132","G protein-coupled receptor 132","","","14q32.33","G protein-coupled receptors, Class A orphans"
"HGNC:19991","GPR135","G protein-coupled receptor 135","","","14q23.1","G protein-coupled receptors, Class A orphans"
"HGNC:19995","GPR139","G protein-coupled receptor 139","","","16p12.3","G protein-coupled receptors, Class A orphans"
"HGNC:19997","GPR141","G protein-coupled receptor 141","","","7p14.1","G protein-coupled receptors, Class A orphans"
"HGNC:20088","GPR142","G protein-coupled receptor 142","","","17q25.1","G protein-coupled receptors, Class A orphans"
"HGNC:21718","GPR146","G protein-coupled receptor 146","","","7p22.3","G protein-coupled receptors, Class A orphans"
"HGNC:23623","GPR148","G protein-coupled receptor 148","","","2q21.1","G protein-coupled receptors, Class A orphans"
"HGNC:23627","GPR149","G protein-coupled receptor 149","","","3q25.2","G protein-coupled receptors, Class A orphans"
"HGNC:23628","GPR150","G protein-coupled receptor 150","","","5q15","G protein-coupled receptors, Class A orphans"
"HGNC:23624","GPR151","G protein-coupled receptor 151","","","5q32","G protein-coupled receptors, Class A orphans"
"HGNC:23622","GPR152","G protein-coupled receptor 152","","","11q13.2","G protein-coupled receptors, Class A orphans"
"HGNC:23618","GPR153","G protein-coupled receptor 153","","","1p36.31","G protein-coupled receptors, Class A orphans"
"HGNC:23693","GPR160","G protein-coupled receptor 160","","","3q26.2","G protein-coupled receptors, Class A orphans"
"HGNC:23694","GPR161","G protein-coupled receptor 161","","","1q24.2","G protein-coupled receptors, Class A orphans"
"HGNC:16693","GPR162","G protein-coupled receptor 162","","","12p13","G protein-coupled receptors, Class A orphans"
"HGNC:30057","GPR171","G protein-coupled receptor 171","","","3q25.1","G protein-coupled receptors, Class A orphans"
"HGNC:18186","GPR173","G protein-coupled receptor 173","","","Xp11.22","G protein-coupled receptors, Class A orphans"
"HGNC:30245","GPR174","G protein-coupled receptor 174","","","Xq21.1","G protein-coupled receptors, Class A orphans"
"HGNC:32370","GPR176","G protein-coupled receptor 176","","","15q14-q15.1","G protein-coupled receptors, Class A orphans"
"HGNC:13708","GPR182","G protein-coupled receptor 182","ADMR","","12q13.3","G protein-coupled receptors, Class A orphans"
"HGNC:3128","GPR183","G protein-coupled receptor 183","EBI2","","13q32.3","G protein-coupled receptors, Class A orphans"
"HGNC:13299","LGR4","leucine rich repeat containing G protein-coupled receptor 4","GPR48","","11p14.1","G protein-coupled receptors, Class A orphans"
"HGNC:4504","LGR5","leucine rich repeat containing G protein-coupled receptor 5","GPR67,GPR49","","12q21.1","G protein-coupled receptors, Class A orphans"
"HGNC:19719","LGR6","leucine rich repeat containing G protein-coupled receptor 6","","","1q32.1","G protein-coupled receptors, Class A orphans"
"HGNC:6899","MAS1","MAS1 proto-oncogene, G protein-coupled receptor","","","6q25.3","G protein-coupled receptors, Class A orphans"
"HGNC:13961","MAS1L","MAS1 proto-oncogene like, G protein-coupled receptor","","","6p22.1","G protein-coupled receptors, Class A orphans"
"HGNC:29626","MRGPRD","MAS related GPR family member D","","","11q13.3","G protein-coupled receptors, Class A orphans"
"HGNC:30694","MRGPRE","MAS related GPR family member E","GPR167","","11p15.4","G protein-coupled receptors, Class A orphans"
"HGNC:24828","MRGPRF","MAS related GPR family member F","GPR168,GPR140","","11q13.3","G protein-coupled receptors, Class A orphans"
"HGNC:24829","MRGPRG","MAS related GPR family member G","GPR169","","11p15.4","G protein-coupled receptors, Class A orphans"
"HGNC:17962","MRGPRX1","MAS related GPR family member X1","","","11p15.1","G protein-coupled receptors, Class A orphans"
"HGNC:17983","MRGPRX2","MAS related GPR family member X2","","","11p15.1","G protein-coupled receptors, Class A orphans"
"HGNC:17980","MRGPRX3","MAS related GPR family member X3","","","11p15.1","G protein-coupled receptors, Class A orphans"
"HGNC:17617","MRGPRX4","MAS related GPR family member X4","","","11p15.1","G protein-coupled receptors, Class A orphans"
"HGNC:15524","P2RY8","P2Y receptor family member 8","","","Xp22.33 and Yp11.3","G protein-coupled receptors, Class A orphans"
"HGNC:19906","P2RY10","P2Y receptor family member 10","","","Xq21.1","G protein-coupled receptors, Class A orphans"
"HGNC:9836","GPRC5A","G protein-coupled receptor class C group 5 member A","RAI3","","12p13.1","G protein-coupled receptors, Class C orphans"
"HGNC:13308","GPRC5B","G protein-coupled receptor class C group 5 member B","","","16p12.3","G protein-coupled receptors, Class C orphans"
"HGNC:13309","GPRC5C","G protein-coupled receptor class C group 5 member C","","","17q25.1","G protein-coupled receptors, Class C orphans"
"HGNC:13310","GPRC5D","G protein-coupled receptor class C group 5 member D","","","12p13.1","G protein-coupled receptors, Class C orphans"
"HGNC:20844","GPR156","G protein-coupled receptor 156","","","3q13.33","G protein-coupled receptors, Class C orphans"
